draw_date,four_digit
2026-09-14,3344
2026-09-18,3502
2026-09-21,9225
2026-09-16,8902
2026-09-11,3350
2026-09-09,3816
2026-09-07,6735
2026-09-04,4187
2026-09-02,5351
2026-08-31,4389
2026-08-28,0623
2026-08-26,5523
2026-08-24,5552
2026-08-21,0253
2026-08-19,6063
2026-08-17,6707
2026-08-14,7941
2026-08-12,9718
2026-08-10,3030
2026-08-07,7677
2026-08-05,2222
2026-08-03,1680
2026-07-31,3290
2026-07-29,1480
2026-07-27,4970
2026-07-24,2561
2026-07-22,0768
2026-07-20,9073
2026-07-17,4604
2026-07-15,9375
2026-07-13,2866
2026-07-10,0277
2026-07-08,6920
2026-07-06,2227
2026-07-03,0392
2026-07-01,8147
2026-06-29,6782
2026-06-26,1577
2026-06-24,8102
2026-06-22,3818
2026-06-19,4240
2026-06-17,3303
2026-06-15,2113
2026-06-12,5060
2026-06-10,4557
2026-06-08,8526
2026-06-05,2469
2026-06-03,0549
2026-06-01,7788
2026-05-29,2722
2026-05-27,0172
2026-05-25,1489
2026-05-22,3763
2026-05-20,2377
2026-05-18,3369
2026-05-15,7095
2026-05-13,0572
2026-05-11,7509
2026-05-08,7877
2026-05-06,4260
2026-05-04,9193
2026-04-29,7768
2026-04-27,0927
2026-04-24,3079
2026-04-22,8257
2026-04-20,0599
2026-04-17,5079
2026-04-13,7568
2026-04-10,0389
2026-04-08,8977
2026-04-06,4488
2026-04-03,7049
2026-04-01,6810
2026-03-30,1585
2026-03-27,7449
2026-03-25,1971
2026-03-23,3101
2026-03-20,4798
2026-03-18,4329
2026-03-16,6315
2026-03-13,3786
2026-03-11,5181
2026-03-06,2926
2026-03-04,2958
2026-03-02,3289
2026-02-27,2571
2026-02-25,4779
2026-02-23,0013
2026-02-20,1955
2026-02-18,6209
2026-02-16,3702
2026-02-13,6668
2026-02-11,6469
2026-02-09,5509
2026-02-06,7430
2026-02-04,8073
2026-02-02,7085
2026-01-30,7039
2026-01-28,3439
