draw_date,four_digit
2024-01-01,1043
2024-01-03,3218
2024-01-05,1960
2024-01-08,0133
2024-01-10,8908
2024-01-12,3863
2024-01-15,7940
2024-01-17,2654
2024-01-19,2351
2024-01-22,1615
2024-01-24,5940
2024-01-26,7816
2024-01-29,1849
2024-01-31,5931
2024-02-02,0341
2024-02-05,3164
2024-02-07,7525
2024-02-09,5341
2024-02-12,9283
2024-02-14,2764
2024-02-16,8350
2024-02-19,3056
2024-02-21,4139
2024-02-23,5376
2024-02-26,7242
2024-02-28,3884
2024-03-01,9696
2024-03-04,5328
2024-03-06,7101
2024-03-08,2269
2024-03-11,1669
2024-03-13,7848
2024-03-15,0184
2024-03-18,5146
2024-03-20,2704
2024-03-22,8281
2024-03-25,4893
2024-03-27,2528
2024-03-29,8095
2024-04-01,7015
2024-04-03,4303
2024-04-05,9117
2024-04-08,1822
2024-04-10,7824
2024-04-12,8963
2024-04-15,8346
2024-04-17,5787
2024-04-19,1331
2024-04-22,5098
2024-04-24,3930
2024-04-26,1031
2024-04-29,0518
2024-05-01,3473
2024-05-03,8299
2024-05-06,7376
2024-05-08,3116
2024-05-10,5667
2024-05-13,0106
2024-05-15,5133
2024-05-17,3872
2024-05-20,6247
2024-05-22,3178
2024-05-24,1080
2024-05-27,1326
2024-05-29,7736
2024-05-31,0260
2024-06-03,6474
2024-06-05,6872
2024-06-07,3430
2024-06-10,9805
2024-06-12,0097
2024-06-14,8820
2024-06-17,8121
2024-06-19,9136
2024-06-21,1939
2024-06-24,9091
2024-06-26,6998
2024-06-28,5435
2024-07-01,3462
2024-07-03,4751
2024-07-05,0799
2024-07-08,1183
2024-07-10,8425
2024-07-12,1354
2024-07-15,2784
2024-07-17,9808
2024-07-19,4124
2024-07-22,1182
2024-07-24,4493
2024-07-26,5348
2024-07-29,7401
2024-07-31,6400
2024-08-02,5242
2024-08-05,7868
2024-08-07,0112
2024-08-09,8059
2024-08-12,8262
2024-08-14,0450
2024-08-16,5331
2024-08-19,5869
2024-08-21,2322
2024-08-23,6025
2024-08-26,6342
2024-08-28,1607
2024-08-30,3375
2024-09-02,4330
2024-09-04,3654
2024-09-06,1458
2024-09-09,6850
2024-09-11,1429
2024-09-13,4019
2024-09-16,6556
2024-09-18,9816
2024-09-20,9340
2024-09-23,6088
2024-09-25,3561
2024-09-27,5951
2024-09-30,4846
2024-10-02,5648
2024-10-04,2366
2024-10-07,2994
2024-10-09,6804
2024-10-11,4369
2024-10-14,9577
2024-10-16,7387
2024-10-18,2148
2024-10-21,9513
2024-10-23,4332
2024-10-25,0037
2024-10-28,9176
2024-10-30,9367
2024-11-01,6320
2024-11-04,1632
2024-11-06,8708
2024-11-08,3172
2024-11-11,7889
2024-11-13,5798
2024-11-15,6872
2024-11-18,7743
2024-11-20,4873
2024-11-22,4714
2024-11-25,3455
2024-11-27,8122
2024-11-29,3623
2024-12-02,1665
2024-12-04,8760
2024-12-06,3669
2024-12-09,0967
2024-12-11,0546
2024-12-13,6889
2024-12-16,3734
2024-12-18,6706
2024-12-20,5627
2024-12-23,2980
2024-12-25,6990
2024-12-27,1627
2024-12-30,2046
2025-01-01,5375
2025-01-03,5646
2025-01-06,4170
2025-01-08,8053
2025-01-10,1003
2025-01-13,3092
2025-01-15,3271
2025-01-17,9374
2025-01-20,5299
2025-01-22,1241
2025-01-24,9049
2025-01-27,6631
2025-01-29,9314
2025-01-31,9190
2025-02-03,5865
2025-02-05,1850
2025-02-07,6716
2025-02-10,5726
2025-02-12,2849
2025-02-14,8776
2025-02-17,9453
2025-02-19,1473
2025-02-21,7996
2025-02-24,5075
2025-02-26,2735
2025-02-28,4549
2025-03-03,4808
2025-03-05,3136
2025-03-07,7837
2025-03-10,7701
2025-03-12,4363
2025-03-14,4957
2025-03-17,8856
2025-03-19,8557
2025-03-21,4443
2025-03-24,1351
2025-03-26,8233
2025-03-28,7498
2025-03-31,9413
2025-04-02,4352
2025-04-04,4082
2025-04-07,4008
2025-04-09,4271
2025-04-11,0947
2025-04-14,7752
2025-04-16,0471
2025-04-18,1671
2025-04-21,9022
2025-04-23,9413
2025-04-25,1869
2025-04-28,9938
2025-04-30,6774
2025-05-02,9649
2025-05-05,9091
2025-05-07,3341
2025-05-09,2328
2025-05-12,1206
2025-05-14,7974
2025-05-16,0344
2025-05-19,7134
2025-05-21,9361
2025-05-23,8324
2025-05-26,2102
2025-05-28,4994
2025-05-30,7174
2025-06-02,6488
2025-06-04,7719
2025-06-06,0659
2025-06-09,4013
2025-06-11,9904
2025-06-13,9027
2025-06-16,8742
2025-06-18,9671
2025-06-20,7565
2025-06-23,5125
2025-06-25,6746
2025-06-27,8071
2025-06-30,5451
2025-07-02,6808
2025-07-04,7603
2025-07-07,8597
2025-07-09,7034
2025-07-11,8247
2025-07-14,7109
2025-07-16,3248
2025-07-18,0861
2025-07-21,3171
2025-07-23,2748
2025-07-25,4677
2025-07-28,3782
2025-07-30,6398
2025-08-01,2146
2025-08-04,5840
2025-08-06,4499
2025-08-08,7278
2025-08-11,7558
2025-08-13,8675
2025-08-15,3396
